global_prod_id,product_name
P0363,اوتريفين اطفال0.05% نقط أنف س ج/جلاكسو
P0364,تريتاس 5مج 14ق س ج/سانوفي افنتس
P0365,كاربيمازول 5مج 50ق س ج/سيد
P0366,ميثو كويك 5/500مج 30ق س ج/سيجما
P0367,بيوجليتا بلس500/15مج 30ق س ج/الاندلس
P0368,ديباكين كرونو500مج 30ق س ج/سانوفي
P0369,سريوبرازول اقراص 40 مجم
P0370,سيفوتاكس2جم 1فيال /يو بى  /المهن
P0371,شاى ريجيم رويال 50 كيس كبير  س ق
P0372,جولد ترو 250مل س ج/ماكرو
P0373,يونيلوكسام750مج 10ق/يونيفارم
P0374,ميرتى 30ك/الفرعونية
P0375,تروسبامكسين20مج 20ق س ج/ايفا
P0376,سوفيناسين 5مجم 3ش/ماركيرل
P0377,اردوسولفين 300مجم 10ك لاتهاب الشعب الهوائيه
P0378,كلافيموكس642مج شراب /فاركو
P0379,برونتوجيست 400مج لبوس س ج/ماركيرل
P0380,سيتابرونكس 5مج 14ق س ق/كيميفارم
P0381,ياسمين ق س ج/سوفيكو
P0382,هيرباك بلس100 فوم مل س ج/مينا
P0383,هيموكيون (10مج/مل) 3امبول/امون
P0384,سورال 20مج 5أقماع /جلوبال نابي
P0385,اوبتست 0.5مج قطرة 5مل س ج/ايفا
P0386,اندوبنتين  300 مجم 20ق س ق
P0387,رينوكالم شراب 120مل /فارما كيور
P0388,ايزيس قرفة/ايزيس
P0389,ايزيس ليمون وزنجبيل/ايزيس
P0390,ايزيس قرفه بالزنجبيل/ايزيس
P0391,بروفين 400مج30ق س ج/ابوت
P0392,اليفو 5مج 20ق س ج/كيميفارم
P0393,يونيكتام 750مج  1فيال س ج/المهن
P0394,لاستليرج اقراص للحساسية  س ق
P0395,اوميز 40مج ك س ج/الفرعونية
P0396,نيرهاسيلدا75جم8 فيلم س ق/نيرهادو
P0397,مارك فاست 30ك س ج/ماركيرل
P0398,دروبيفلوكس قطرة
P0399,هاى بيوتك ان 600 شراب 80مل/امون
P0400,سيفوزون 1جم 1فيال/ابيكو
P0401,ال كارنتين بلس 20ق س ج/ميباكو
P0402,رانديل 20مجم30قرص/ادويا
P0403,جلابتيفيا بلس50/1000مجم30قرص  س ج
P0404,نانازوكسيد شراب(100مج)60مل س ج/يوتوبيا
P0405,فيرميزول 200مج 6ق س ج/امون
P0406,جليسرين لبوس  رضع 5أقماع س ج /فاركو
P0407,بروستانورم 30ك /ايفا
